Berlin
Hamburg
München
Köln
Frankfurt am Main
Stuttgart
Düsseldorf
Dortmund
Essen
Leipzig
Bremen
Dresden
Hannover
Nürnberg
Duisburg
Bochum
Wuppertal
Bielefeld
Bonn
Münster
Karlsruhe
Mannheim
Augsburg
Wiesbaden
Gelsenkirchen
Mönchen­gladbach 
Braunschweig
Kiel
Chemnitz
Aachen
Magdeburg
Halle (Saale)
Freiburg im Breisgau
Krefeld
Lübeck
Mainz
Oberhausen
Erfurt
Rostock
Kassel
Hagen
Saarbrücken
Hamm
Potsdam
Mülheim an der Ruhr
Ludwigshafen am Rhein
Oldenburg (Oldb)
Osnabrück
Leverkusen
Heidelberg
Solingen
Darmstadt
Herne
Neuss
Paderborn
Regensburg
Ingolstadt
Würzburg
Fürth
Offenbach am Main
Ulm
Wolfsburg
Heilbronn
Pforzheim
Göttingen
Bottrop
Reutlingen
Recklinghausen
Koblenz
Bremer­haven 0
Bergisch Gladbach
Remscheid
Jena
Erlangen
Trier
Moers
Salzgitter 
Siegen
Hildesheim
Cottbus

